"","Index","date","material","dolar","aco","ipca","amostragem","result"
"1","43","2013-02-01","17.82","1.97","109.1","3655.2","1","17.15862"
"2","43","2013-03-01","17.15","1.98","110.6","3672.4","1","17.18178"
"3","43","2013-04-01","16.76","2.00","113.5","3692.6","1","17.24144"
"4","43","2013-05-01","16.84","2.03","113.6","3706.3","1","17.12216"
"5","43","2013-06-01","16.98","2.17","113.6","3715.9","1","16.84144"
"6","43","2013-07-01","17.33","2.25","113.6","3717.0","1","17.37561"
"7","43","2013-08-01","17.97","2.34","115.7","3726.0","2","18.51260"
"8","43","2013-09-01","18.41","2.27","117.1","3739.0","1","18.26383"
"9","43","2013-10-01","18.11","2.19","117.5","3760.3","1","18.13707"
"10","43","2013-11-01","18.40","2.30","117.4","3780.6","1","18.75912"
"11","43","2013-12-01","18.58","2.35","117.0","3815.4","1","18.85599"
"12","43","2014-01-01","18.92","2.38","120.9","3836.4","2","18.97323"
"13","43","2014-02-01","19.18","2.38","125.5","3862.8","1","19.11559"
"14","43","2014-03-01","19.51","2.33","125.3","3898.4","1","19.19222"
"15","43","2014-04-01","19.57","2.23","124.7","3924.5","2","19.35560"
"16","43","2014-05-01","19.87","2.22","125.9","3942.6","1","19.43537"
"17","43","2014-06-01","19.57","2.24","126.7","3958.3","1","19.38805"
"18","43","2014-07-01","18.90","2.22","126.6","3958.7","1","19.43176"
"19","43","2014-08-01","18.92","2.27","120.6","3968.6","1","18.82232"
"20","43","2014-09-01","18.92","2.33","126.1","3991.2","1","19.06271"
"21","43","2014-10-01","19.17","2.45","126.8","4008.0","1","19.16550"
"22","43","2014-11-01","19.60","2.55","126.8","4028.4","1","19.45424"
"23","43","2014-12-01","19.69","2.64","126.3","4059.9","1","19.87493"
"24","43","2015-01-01","20.14","2.63","124.8","4110.2","1","19.93039"
"25","43","2015-02-01","20.86","2.82","124.6","4160.3","1","20.96417"
"26","43","2015-03-01","21.73","3.14","124.0","4215.3","1","21.66143"
"27","43","2015-04-01","21.41","3.04","123.7","4245.2","2","21.63727"
"28","43","2015-05-01","22.00","3.06","123.0","4276.6","2","21.80580"
"29","43","2015-06-01","22.63","3.11","123.2","4310.4","1","22.63329"
"30","43","2015-07-01","22.54","3.22","119.3","4337.1","1","22.53966"
"31","43","2015-08-01","23.70","3.51","119.3","4346.7","1","23.74192"
"32","43","2015-09-01","25.19","3.91","117.6","4370.1","2","28.30541"
"33","43","2015-10-01","26.54","3.88","113.3","4406.0","1","26.54238"
"34","43","2015-11-01","27.18","3.78","114.8","4450.5","2","25.83818"
"35","43","2015-12-01","27.38","3.87","112.4","4493.2","1","27.39100"
"36","43","2017-01-01","26.09","3.20","139.5","4793.9","2","24.36500"
"37","43","2017-02-01","25.59","3.10","148.3","4809.7","1","25.71676"
"38","43","2017-03-01","25.58","3.13","151.2","4821.7","1","25.50397"
"39","43","2017-04-01","24.82","3.14","147.7","4828.4","2","24.71177"
"40","43","2017-05-01","24.12","3.21","152.6","4843.4","1","24.02636"
"41","43","2017-06-01","25.00","3.30","149.8","4832.3","1","25.00009"
"42","43","2017-07-01","25.03","3.21","143.5","4843.9","2","23.88044"
"43","43","2017-08-01","25.84","3.15","138.8","4853.1","2","23.47116"
"44","43","2017-09-01","24.63","3.13","147.2","4860.8","2","24.07603"
"45","43","2017-10-01","23.53","3.19","153.7","4881.3","1","23.62711"
"46","43","2017-11-01","22.52","3.26","153.9","4894.9","1","22.48519"
"47","43","2017-12-01","22.64","3.29","155.0","4916.5","2","22.67957"
"48","43","2018-01-01","24.70","3.21","153.5","4930.7","2","22.47277"
"49","43","2018-02-01","23.26","3.24","170.7","4946.5","1","23.38494"
"50","43","2018-03-01","24.89","3.28","170.0","4951.0","1","24.72828"
"51","43","2018-04-01","25.31","3.41","167.6","4961.8","1","25.37390"
"52","43","2018-05-01","24.77","3.64","169.7","4981.7","1","24.82094"
"53","43","2018-06-01","24.88","3.77","168.4","5044.5","1","24.91297"
"54","43","2018-07-01","25.23","3.83","175.5","5061.1","1","25.16574"
"55","43","2018-08-01","28.18","3.93","179.4","5056.6","1","28.20527"
"56","43","2018-09-01","28.63","4.12","190.4","5080.8","1","28.81722"
"57","43","2018-10-01","28.11","3.76","191.8","5103.7","1","28.17959"
"58","43","2018-11-01","29.27","3.79","194.2","5093.0","1","28.60392"
"59","43","2018-12-01","27.83","3.89","192.1","5100.6","1","28.69075"
"60","43","2019-01-01","27.75","3.74","184.5","5116.9","1","27.68381"
"61","43","2019-02-01","27.81","3.72","183.5","5138.9","1","27.84032"
"62","43","2019-03-01","27.48","3.85","179.3","5177.5","1","27.47947"
"63","43","2019-04-01","27.83","3.90","179.9","5207.0","2","27.43256"
"64","43","2019-05-01","27.83","4.00","190.7","5213.8","1","27.99354"
"65","43","2019-06-01","27.70","3.86","193.7","5214.3","1","27.76791"
"66","43","2019-07-01","27.97","3.78","194.3","5224.2","1","27.84810"
"67","43","2019-08-01","27.97","4.02","192.7","5229.9","1","27.79029"
"68","43","2019-09-01","28.62","4.12","189.8","5227.8","1","28.06067"
"69","43","2019-10-01","25.99","4.09","189.1","5233.1","1","26.26245"
"70","43","2019-11-01","24.28","4.16","189.9","5259.8","1","24.43597"
"71","43","2019-12-01","23.99","4.11","190.6","5320.3","1","23.85161"
"72","43","2020-01-01","24.01","4.15","194.6","5331.4","1","23.83336"
"73","43","2020-02-01","24.39","4.34","199.2","5344.8","1","24.35992"
