"","material","dolar","aco","ipca","amostragem","result"
"1",-1.24705578620783,-1.59026771585028,-0.908572939071276,-1.61437101928603,1,-1.33499620380036
"2",-1.33614195134874,-1.58167342718504,-0.895735084179441,-1.59307343967764,1,-1.33191583466848
"3",-1.38799807732628,-1.56448484985454,-0.870915231388559,-1.56806116595152,1,-1.32398352393084
"4",-1.3773609232796,-1.53870198385881,-0.87005937439577,-1.55109739614717,1,-1.33984357958209
"5",-1.35874590369792,-1.41838194254537,-0.87005937439577,-1.5392103749704,1,-1.37716884540131
"6",-1.31220835474372,-1.3496276332234,-0.87005937439577,-1.53784832046056,1,-1.30614363539487
"7",-1.22711112237032,-1.27227903523619,-0.852086377547201,-1.52670423810734,2,-1.15496469195243
"8",-1.16860677511361,-1.33243905589291,-0.840104379648155,-1.5106072302638,1,-1.18804268880837
"9",-1.20849610278864,-1.40119336521488,-0.836680951676999,-1.48423290202784,1,-1.20489694224967
"10",-1.16993641936944,-1.30665618989717,-0.837536808669788,-1.45909680516446,1,-1.122186413618
"11",-1.14600282276442,-1.26368474657094,-0.840960236640944,-1.41600635339867,1,-1.10930625441078
"12",-1.10079491806605,-1.23790188057521,-0.807581813922172,-1.39000349457448,2,-1.09371721899568
"13",-1.06622416741436,-1.23790188057521,-0.768212392253877,-1.35731418633836,1,-1.07478885123765
"14",-1.02234590697182,-1.28087332390144,-0.769924106239455,-1.3132331494745,1,-1.06459897508059
"15",-1.01436804143682,-1.36681621055389,-0.775059248196189,-1.28091531065016,2,-1.04287551941484
"16",-0.974478713761786,-1.37541049921914,-0.764788964282721,-1.25850332280646,1,-1.03226884462752
"17",-1.01436804143682,-1.35822192188865,-0.757942108340409,-1.23906309025695,1,-1.03856042529224
"18",-1.10345420657772,-1.37541049921914,-0.758797965333198,-1.23856779770791,1,-1.03274870577582
"19",-1.10079491806605,-1.33243905589291,-0.810149384900539,-1.22630930711937,1,-1.11378266993756
"20",-1.10079491806605,-1.28087332390144,-0.763077250297143,-1.19832527809906,1,-1.08181941430527
"21",-1.06755381167019,-1.17774185991849,-0.75708625134762,-1.17752299103971,1,-1.06815195232169
"22",-1.01037910866931,-1.09179897326603,-0.75708625134762,-1.15226307103907,1,-1.02975995932154
"23",-0.998412310366805,-1.01445037527882,-0.761365536311565,-1.11325878280279,1,-0.973823705541178
"24",-0.938578318854258,-1.02304466394406,-0.7742033912034,-1.050975744762,1,-0.966448762260461
"25",-0.842843932434183,-0.859753179304394,-0.775915105188979,-0.988940352995731,1,-0.828993123013814
"26",-0.727164882176592,-0.584735942016531,-0.781050247145713,-0.920837627503817,1,-0.736281668419834
"27",-0.769713498363292,-0.670678828668988,-0.78361781812408,-0.883814509463667,2,-0.739494240621103
"28",-0.691264487269064,-0.653490251338496,-0.789608817073603,-0.844934044364646,2,-0.717086311501966
"29",-0.607496899151499,-0.610518808012268,-0.787897103088025,-0.803081823971434,1,-0.607058939820255
"30",-0.619463697454008,-0.515981632694565,-0.821275525806796,-0.77002104632354,1,-0.619508843815685
"31",-0.46522496377722,-0.266747261402439,-0.821275525806796,-0.75813402514677,1,-0.459651485056147
"32",-0.267107969657898,0.0770242852073909,-0.83582509468421,-0.729159411028391,2,0.147131361827524
"33",-0.0876059951202574,0.0512414192116535,-0.872626945374137,-0.68470690475276,1,-0.0872898987370023
"34",-0.00250876274685723,-0.0347014674408039,-0.859789090482302,-0.629605608672938,2,-0.180923344423899
"35",0.0240841223698302,0.042647130546408,-0.880329658309238,-0.57673312906376,1,0.0255463131164058
"36",-0.147439986632804,-0.533170210025056,-0.648392413263415,-0.204396955328874,2,-0.376804089702166
